Date,CATEGORY,CALL GROUPS,final_case_type,CASE DESC,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT13,WT14,WT16,WT18,WT21,WT22
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1/1/2013,STREET CRIMES,DISORDER,DISTP,DISTURBANCE - PRIORITY,7.38,0,0,0,31.5,40,23,100,100,19.9,19.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
